name,matched_on_ot,platform_in_booking_master,url
chama mama chelsea,Chama Mama,resy,https://resy.com/cities/new-york-ny/venues/chama-mama-chelsea
chano's cantina,Chano's Cantina,website,http://chanoscantina.com/
charlies bar & kitchen,Charlies Bar & Kitchen,website,http://charliesbarkitchen.com/
chateau de capitaine,Chateau De Capitaine,website,http://www.chateaudecapitaine.com/
chateau yaffa,Chateau Yaffa,website,https://www.yaffanyc.com/
chawlas 2,Chawlas 2,website,http://chawlas2southozonepark.com/
chelsea table and stage,Chelsea Table + Stage,website,http://chelseatableandstage.com/
chemistry room,The Chemistry Room,website,http://www.thechemistryroom.com/
chens garden,Chen's Garden,walk_in,
cheryl's global soul,Cheryl's Global Soul,website,http://www.cherylsglobalsoul.com/
chez francis,Chez Francis,unknown,
chez omar,Chez Omar,website,https://www.chezomarny.com/
chez oskar,Chez Oskar,website,http://www.chezoskar.com/
chi restaurant and bar,CHI Bar - Sheraton Grand Chicago Riverwalk,website,https://chirestaurantnyc.com/
chick chick,Chick Chick,website,http://www.chickchicknyc.com/
china glatt,China Glatt,website,http://chinaglatt.com/
china north dumpling 北方鍋貼,China North Dumpling,website,https://northdumpling.gbiz.shop/
china river,China River,website,http://www.nychinariver.com/
chino grande,Chino Grande,resy,https://resy.com/cities/new-york-ny/venues/chino-grande
chomp chomp thai kitchen,Chomp Chomp Thai kitchen,website,https://www.chompchompthainyc.com/
chor bazaar,Chor Bazaar,website,http://www.chorbazaarnyc.com/
chow house 德悦轩,Chow House,resy,https://resy.com/cities/new-york-ny/venues/chow-house
chubby skewers,Chubby Skewers - Manhattan,website,https://chubbyskewers.com/locations/chubby-skewers-manhattan/
ciccio cincin,Ciccio Cincin,resy,https://resy.com/cities/new-york-ny/venues/ciccio-cincin
cilantro nyc,Cilantro,website,https://www.cilantrony.com/
cinco de mayo,Cinco De Mayo,website,http://www.evasxcincodemayo.com/
cipriani dolci,Cipriani Dolci,website,https://www.cipriani.com/cipriani-dolci
